Risk level Clusters  Average      Min      Max       SD
INFO           1115   1090.3        5   583889  19227.6
LOW             221    189.4        4     5557    612.9
MEDIUM           18     31.6        5      235     55.5
HIGH             17    117.0        6     1107    270.6
ATTACK           33     42.2        5      402     77.1
SUSPICIOUS      238   2604.4        5   280056  20209.9
Total          1642   1145.7        4   583889  17629.0

Single level clusters   :     1404/    1642 =  85.5055%
Single level sequences  :  1261473/ 1881314 =  67.0528%
Adjacent level clusters :     1527/    1642 =  92.9963%
Adjacent level sequences:  1854247/ 1881314 =  98.5613%

Homogeneity: 0.9767

SUSPICIOUS
(294, 0.9921)
(295, 0.9922)
(296, 0.9922)
(297, 0.9923)
(298, 0.9923)
(299, 0.9924)



(5, 125)
(6, 101)
(7, 95)
(8, 70)
(9, 79)
(10, 63)
(11, 46)
(12, 37)
(13, 32)
(14, 39)
(15, 33)
(16, 25)
(17, 25)
(18, 29)
(19, 24)
(20, 26)
(21, 14)
(22, 15)
(23, 19)
(24, 16)
(25, 16)
(26, 14)
(27, 16)
(28, 14)
(29, 12)
(30, 13)
(31, 12)
(32, 7)
(33, 12)
(34, 8)
(35, 11)
(36, 6)
(37, 9)
(38, 9)
(39, 9)
(40, 3)
(41, 10)
(42, 8)
(43, 4)
(44, 5)
(45, 4)
(46, 10)
(47, 5)
(48, 2)
(49, 11)
(50, 4)
(51, -1)
(57, 149)
(59, -1)
(62, 246)
(64, -1)
(67, 85)
(69, -1)
(72, 13)
(74, -1)
